snapshot_date,fantasypros_id,player_name,normalized_name,position,team,market_rank,market_metric,player_id,match_method,join_status,has_projection
2026-07-31,25403,Jeremiyah Love,jeremiyahlove,RB,ARI,37.97,ecr,00-0041027,normalized_name_position,matched,False
2026-07-31,23046,Drake Maye,drakemaye,QB,NE,38.29,ecr,00-0039851,fantasypros_id,matched,True
2026-07-31,19790,Jaylen Waddle,jaylenwaddle,WR,DEN,38.49,ecr,00-0036613,fantasypros_id,matched,True
2026-07-31,15514,Derrick Henry,derrickhenry,RB,BAL,38.63,ecr,00-0032764,fantasypros_id,matched,True
2026-07-31,22982,Breece Hall,breecehall,RB,NYJ,40.71,ecr,00-0038120,fantasypros_id,matched,True
2026-07-31,23059,Kyren Williams,kyrenwilliams,RB,LAR,42.19,ecr,00-0037840,fantasypros_id,matched,True
2026-07-31,18466,Terry McLaurin,terrymclaurin,WR,WAS,42.74,ecr,00-0035659,fantasypros_id,matched,True
2026-07-31,19196,Joe Burrow,joeburrow,QB,CIN,43.47,ecr,00-0036442,fantasypros_id,matched,True
2026-07-31,18269,Josh Jacobs,joshjacobs,RB,GB,44.21,ecr,00-0035700,fantasypros_id,matched,True
2026-07-31,22739,Javonte Williams,javontewilliams,RB,DAL,46.04,ecr,00-0036997,fantasypros_id,matched,True
2026-07-31,27016,Luther Burden III,lutherburden,WR,CHI,46.97,ecr,00-0040735,fantasypros_id,matched,True
2026-07-31,12123,Davante Adams,davanteadams,WR,LAR,48.22,ecr,00-0031381,fantasypros_id,matched,True
2026-07-31,12119,Mike Evans,mikeevans,WR,SF,49.33,ecr,00-0031408,fantasypros_id,matched,True
2026-07-31,19231,Travis Etienne Jr.,travisetienne,RB,NO,49.89,ecr,00-0036973,fantasypros_id,matched,True
2026-07-31,22902,Jayden Daniels,jaydendaniels,QB,WAS,51.83,ecr,00-0039910,fantasypros_id,matched,True
2026-07-31,27166,Cam Skattebo,camskattebo,RB,NYG,53.65,ecr,00-0040715,fantasypros_id,matched,True
2026-07-31,26434,Tyler Warren,tylerwarren,TE,IND,54.47,ecr,00-0040128,fantasypros_id,matched,True
2026-07-31,23677,Jameson Williams,jamesonwilliams,WR,DET,54.67,ecr,00-0037240,fantasypros_id,matched,True
2026-07-31,17265,DJ Moore,djmoore,WR,BUF,55.17,ecr,00-0034827,fantasypros_id,matched,True
2026-07-31,23886,Christian Watson,christianwatson,WR,GB,56.76,ecr,00-0038124,fantasypros_id,matched,True
2026-07-31,19275,Jalen Hurts,jalenhurts,QB,PHI,58.44,ecr,00-0036389,fantasypros_id,matched,True
2026-07-31,25411,Rome Odunze,romeodunze,WR,CHI,59.51,ecr,00-0039919,fantasypros_id,matched,True
2026-07-31,25981,Bucky Irving,buckyirving,RB,TB,59.58,ecr,00-0039361,fantasypros_id,matched,True
2026-07-31,25391,Quinshon Judkins,quinshonjudkins,RB,CLE,59.68,ecr,00-0040784,fantasypros_id,matched,True
2026-07-31,19210,D'Andre Swift,dandreswift,RB,CHI,61.13,ecr,00-0036275,fantasypros_id,matched,True
2026-07-31,18239,David Montgomery,davidmontgomery,RB,HOU,63.35,ecr,00-0035685,fantasypros_id,matched,True
2026-07-31,23065,TreVeyon Henderson,treveyonhenderson,RB,NE,63.43,ecr,00-0040734,fantasypros_id,matched,True
2026-07-31,26009,Carnell Tate,carnelltate,WR,TEN,64.26,ecr,00-0041438,normalized_name_position,matched,False
2026-07-31,23084,Caleb Williams,calebwilliams,QB,CHI,68.89,ecr,00-0039918,fantasypros_id,matched,True
2026-07-31,18635,Justin Herbert,justinherbert,QB,LAC,70.08,ecr,00-0036355,fantasypros_id,matched,True
2026-07-31,23064,Marvin Harrison Jr.,marvinharrison,WR,ARI,71.36,ecr,00-0039849,fantasypros_id,matched,True
2026-07-31,27297,Bhayshul Tuten,bhayshultuten,RB,JAC,72.39,ecr,00-0040719,fantasypros_id,matched,True
2026-07-31,24209,Jaylen Warren,jaylenwarren,RB,PIT,75.07,ecr,00-0037228,fantasypros_id,matched,True
2026-07-31,25298,Tucker Kraft,tuckerkraft,TE,GB,75.29,ecr,00-0038996,fantasypros_id,matched,True
2026-07-31,27050,Harold Fannin Jr.,haroldfannin,TE,CLE,75.49,ecr,00-0040663,fantasypros_id,matched,True
2026-07-31,19780,Trevor Lawrence,trevorlawrence,QB,JAC,77.69,ecr,00-0036971,fantasypros_id,matched,True
2026-07-31,27329,Jadarian Price,jadarianprice,RB,SEA,77.91,ecr,00-0041512,normalized_name_position,matched,False
2026-07-31,23791,Alec Pierce,alecpierce,WR,IND,78.93,ecr,00-0037664,fantasypros_id,matched,True
2026-07-31,15600,Dak Prescott,dakprescott,QB,DAL,79.06,ecr,00-0033077,fantasypros_id,matched,True
2026-07-31,18219,DK Metcalf,dkmetcalf,WR,PIT,79.18,ecr,00-0035640,fantasypros_id,matched,True
2026-07-31,16406,Chris Godwin Jr.,chrisgodwin,WR,TB,80.13,ecr,00-0033921,fantasypros_id,matched,True
2026-07-31,23000,Brian Thomas Jr.,brianthomas,WR,JAC,80.18,ecr,00-0039893,fantasypros_id,matched,True
2026-07-31,17253,Courtland Sutton,courtlandsutton,WR,DEN,80.43,ecr,00-0034348,fantasypros_id,matched,True
2026-07-31,20164,Kyle Pitts Sr.,kylepitts,TE,ATL,80.5,ecr,00-0036970,fantasypros_id,matched,True
2026-07-31,23106,Parker Washington,parkerwashington,WR,JAC,80.96,ecr,00-0038606,fantasypros_id,matched,True
2026-07-31,22726,Rhamondre Stevenson,rhamondrestevenson,RB,NE,82.43,ecr,00-0036875,fantasypros_id,matched,True
2026-07-31,19278,Michael Pittman Jr.,michaelpittman,WR,PIT,82.81,ecr,00-0036252,fantasypros_id,matched,True
2026-07-31,18705,Tony Pollard,tonypollard,RB,TEN,83.85,ecr,00-0035261,fantasypros_id,matched,True
2026-07-31,22978,Sam LaPorta,samlaporta,TE,DET,84.89,ecr,00-0039065,fantasypros_id,matched,True
2026-07-31,19792,Chuba Hubbard,chubahubbard,RB,CAR,86.06,ecr,00-0036555,fantasypros_id,matched,True
2026-07-31,22985,Wan'Dale Robinson,wandalerobinson,WR,TEN,87.46,ecr,00-0038117,fantasypros_id,matched,True
2026-07-31,25333,Michael Wilson,michaelwilson,WR,ARI,87.56,ecr,00-0038559,fantasypros_id,matched,True
